0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.53453434,-0.44603568,0.79200107,0.06395207,-0.32382888,-0.727069,2.1730137,0.713358,0.4948187,-2.224749,0.59089047,0.18274689,-0.94331855,-1.2238275,0.94426394,-0.61600137
-1.3419428,-1.4428698,0.37479535,2.0557847,-0.21877852,-0.59099585,0.1169092,-0.6778688,0.49349278,-1.3058202,-1.2510362,1.310674,-0.8510969,-0.4655988,-0.34964675,0.42627734
-0.47426072,-0.06460404,-0.12900876,1.1010072,-2.7317595,-0.35700372,-0.6723261,1.5283886,-1.7360902,0.20618156,0.61020267,-1.8019701,-0.5284595,0.57092637,2.7293153,1.5118293
2.3202677,-0.26583433,-0.5784462,0.7224885,0.0738626,-0.89764905,0.24252336,-0.62490284,-3.0652792,0.6094129,1.1132683,-0.5718531,1.152636,-0.91650563,1.8203105,0.48770446
1.8120412,-1.1923333,-1.0773959,0.04414768,-0.006355379,2.0767624,-2.066827,0.15535003,0.52211875,-0.2941194,1.2297386,0.55449045,0.026678517,-0.37051454,1.0055139,-0.43090072
2.1689298,-0.0061106635,0.45005682,-1.7571223,0.07265394,0.6573762,-0.45684367,-1.0405794,-0.3976419,0.79308987,1.2780796,-1.6328295,0.46014464,0.8239582,0.0076358146,1.1436229
0.46778753,0.4824811,-2.0350754,0.75427246,0.32353246,1.780555,1.6675282,-1.7826644,0.7217675,0.27286783,0.29983306,0.838657,0.5527724,-0.7632212,-1.349448,-1.0722946
1.1760956,0.9639132,-0.57742196,-1.822999,-1.5791199,-0.08961718,0.45714498,1.4366951,-0.5082757,1.2226808,-0.402902,0.28747776,-0.6047667,-1.278089,1.455588,0.42033818
0.24823295,0.5193548,-1.3621597,0.83480126,0.41963702,-1.6583406,-0.4680087,1.7382747,0.60400766,-0.28061873,2.0329425,-2.1673028,0.5163789,-1.7716545,-0.42898175,-0.6806469
-1.9550415,-0.45085016,3.8562057,0.3087236,0.087251306,0.6174708,0.30891177,0.95768756,-0.20722198,-1.7593542,-1.5808524,-1.4687448,-0.06618776,-0.42483974,-0.5907359,-0.11780148
0.07989837,1.1057476,0.91042787,-1.214531,-2.8636987,0.7435863,1.5238534,-1.5230231,-1.1546235,2.1667204,-1.2878358,-1.8569187,-1.4975493,0.4782135,-2.142757,-0.3857537
0.71331954,1.3446943,-0.3979646,0.39685142,-1.3014593,0.14485241,-0.2302348,0.28556207,-1.8609312,-0.038432833,0.6393918,-1.6387048,-0.33199129,0.21332493,-0.32644713,-1.4573019
0.69698876,0.383881,0.3238299,1.2549965,1.5615633,-0.22878361,-1.3103234,0.07097954,-0.5837679,-0.22464468,1.8933411,-0.35979584,0.9537161,0.033948246,-0.33888638,0.6286992
